id;generation;life;strength;speed;cDamage
1878;363;120;1000;880;1000
2690;364;111;1000;889;1000
206;365;119;1000;881;1000
3496;366;110;1000;890;1000
204;367;118;1000;882;1000
1651;368;109;1000;891;1000
3026;369;116;1000;884;1000
2574;370;125;1000;875;1000
397;371;116;1000;884;1000
3198;372;125;1000;875;1000
849;373;116;1000;884;1000
1911;374;107;1000;893;1000
676;375;115;1000;885;1000
3612;376;124;1000;876;1000
3867;377;115;1000;885;1000
4011;378;106;1000;894;1000
2795;379;113;1000;887;1000
1571;380;121;1000;879;996
2433;381;112;1000;888;1000
1017;382;121;1000;879;1000
1243;383;112;1000;888;1000
2968;384;121;1000;879;1000
3315;385;112;1000;888;1000
2864;386;121;1000;879;992
2549;387;112;1000;888;1000
1136;388;121;1000;879;997
2612;389;112;1000;888;1000
1250;390;121;1000;879;998
2595;391;112;1000;888;1000
972;392;121;1000;879;999
177;393;112;1000;888;1000
1266;394;120;1000;880;1000
2441;395;111;1000;889;1000
3782;396;102;1000;898;1000
1128;397;108;1000;892;1000
2610;398;117;1000;883;1000
164;399;125;1000;875;1000
3376;400;116;1000;884;1000
3193;401;125;1000;875;1000
2228;402;116;1000;884;1000
1710;403;124;1000;876;997
1913;404;115;1000;885;1000
988;405;123;994;877;999
2540;406;114;1000;886;1000
534;407;123;992;877;1000
3172;408;114;1000;886;1000
854;409;122;1000;878;1000
1414;410;113;1000;887;1000
224;411;122;994;878;991
373;412;113;1000;887;1000
1907;413;120;1000;880;1000
962;414;111;1000;889;1000
918;415;120;1000;880;1000
3232;416;111;1000;889;1000
2186;417;119;1000;881;992
1510;418;128;1000;872;983
3994;419;119;1000;881;992
4091;420;128;1000;872;998
3519;421;119;1000;881;1000
459;422;110;1000;890;1000
2607;423;119;1000;881;991
1019;424;127;1000;873;994
1861;425;118;1000;882;1000
3354;426;109;1000;891;1000
960;427;117;1000;883;1000
1945;428;108;1000;892;1000
1349;429;117;1000;883;1000
1548;430;124;1000;876;997
3891;431;115;1000;885;1000
2656;432;124;1000;876;1000
3059;433;115;1000;885;1000
2325;434;124;1000;876;1000
10;435;115;1000;885;1000
1752;436;124;1000;876;994
2550;437;115;1000;885;1000
3724;438;124;1000;876;1000
1880;439;115;1000;885;1000
1008;440;124;1000;876;1000
2197;441;115;1000;885;1000
1738;442;124;1000;876;997
3824;443;115;1000;885;1000
914;444;124;1000;876;1000
95;445;115;1000;885;1000
759;446;106;1000;894;1000
2615;447;115;1000;885;1000
2417;448;121;1000;879;992
3333;449;130;1000;870;993
3248;450;121;1000;879;1000
2617;451;112;1000;888;1000
3021;452;121;1000;879;1000
2768;453;112;1000;888;1000
1757;454;120;1000;880;995
1250;455;129;1000;871;1000
3257;456;120;1000;880;1000
536;457;129;997;871;994
3072;458;120;1000;880;1000
2325;459;111;1000;889;1000
981;460;120;1000;880;1000
15;461;111;1000;889;1000
3661;462;120;1000;880;1000
2555;463;111;1000;889;1000
3861;464;120;1000;880;997
3504;465;111;1000;889;1000
613;466;120;1000;880;1000
268;467;111;1000;889;1000
1851;468;120;1000;880;1000
3472;469;129;1000;871;999
2246;470;120;1000;880;1000
304;471;111;1000;889;1000
12;472;120;997;880;996
938;473;129;1000;871;1000
1525;474;120;1000;880;1000
3393;475;129;1000;871;1000
3317;476;120;1000;880;1000
3413;477;111;1000;889;1000
130;478;120;1000;880;1000
848;479;111;1000;889;1000
3650;480;117;1000;883;1000
1171;481;108;1000;892;1000
700;482;116;1000;884;1000
2443;483;125;1000;875;1000
3337;484;116;1000;884;1000
1813;485;125;1000;875;994
847;486;116;1000;884;1000
213;487;125;1000;875;1000
1797;488;116;1000;884;1000
3256;489;124;1000;876;996
87;490;115;1000;885;1000
1345;491;106;1000;894;1000
1623;492;111;1000;889;993
3012;493;120;1000;880;998
3538;494;128;1000;872;1000
3928;495;119;1000;881;1000
3651;496;128;999;872;1000
3168;497;119;1000;881;1000
445;498;110;1000;890;1000
1823;499;119;997;881;991
3815;500;110;1000;890;1000
2659;501;117;1000;883;1000
2091;502;125;1000;875;1000
2190;503;116;1000;884;1000
480;504;124;1000;876;1000
3324;505;115;1000;885;1000
2332;506;124;993;876;1000
1119;507;115;1000;885;1000
3419;508;106;1000;894;1000
2399;509;115;1000;885;992
625;510;124;1000;876;992
1151;511;115;1000;885;1000
171;512;106;1000;894;1000
523;513;115;1000;885;1000
2386;514;106;1000;894;1000
351;515;113;1000;887;1000
760;516;121;1000;879;1000
4030;517;112;1000;888;1000
1808;518;120;1000;880;993
1061;519;129;1000;871;996
1358;520;120;1000;880;1000
182;521;111;1000;889;1000
3069;522;119;1000;881;995
1578;523;110;1000;890;1000
3652;524;119;1000;881;993
25;525;128;1000;872;993
1821;526;119;1000;881;1000
3100;527;127;1000;873;1000
2934;528;118;1000;882;1000
1515;529;109;1000;891;1000
1996;530;117;1000;883;999
585;531;108;1000;892;1000
3823;532;116;1000;884;1000
1669;533;125;1000;875;1000
1759;534;116;1000;884;1000
1852;535;125;998;875;1000
817;536;116;1000;884;1000
1573;537;125;1000;875;991
2191;538;116;1000;884;1000
2261;539;107;1000;893;1000
2613;540;115;1000;885;1000
3827;541;124;1000;876;1000
1564;542;115;1000;885;1000
87;543;124;1000;876;1000
2733;544;115;1000;885;1000
3808;545;123;1000;877;997
2846;546;114;1000;886;1000
1554;547;121;1000;879;1000
940;548;112;1000;888;1000
336;549;121;1000;879;1000
1735;550;112;1000;888;1000
845;551;119;1000;881;1000
1080;552;127;1000;873;1000
4090;553;118;1000;882;1000
2887;554;109;1000;891;1000
1802;555;118;1000;882;1000
443;556;109;1000;891;1000
1775;557;118;1000;882;1000
1324;558;127;1000;873;1000
3541;559;118;1000;882;1000
1011;560;109;1000;891;1000
3770;561;117;1000;883;1000
2843;562;108;1000;892;1000
671;563;115;1000;885;997
1925;564;122;1000;878;1000
123;565;131;1000;869;1000
362;566;122;1000;878;1000
3980;567;113;1000;887;1000
774;568;104;1000;896;1000
289;569;111;1000;889;1000
3737;570;119;1000;881;995
985;571;128;1000;872;987
723;572;119;1000;881;996
849;573;128;1000;872;993
2451;574;119;1000;881;1000
931;575;128;1000;872;994
1951;576;119;1000;881;1000
656;577;128;1000;872;1000
2177;578;119;1000;881;1000
498;579;128;1000;872;1000
1435;580;119;1000;881;1000
241;581;128;1000;872;992
3289;582;119;1000;881;1000
3029;583;110;1000;890;1000
2204;584;101;1000;899;1000
189;585;108;1000;892;1000
2695;586;115;1000;885;1000
645;587;106;1000;894;1000
313;588;112;1000;888;993
3889;589;117;1000;883;997
3408;590;126;1000;874;1000
2819;591;117;1000;883;1000
2386;592;108;1000;892;1000
3489;593;117;1000;883;1000
961;594;126;1000;874;994
3482;595;117;1000;883;1000
1822;596;108;1000;892;1000
961;597;116;1000;884;1000
1830;598;124;1000;876;996
1504;599;115;1000;885;1000
16;600;124;1000;876;1000
797;601;115;1000;885;1000
3878;602;106;1000;894;1000
1973;603;115;1000;885;1000
2905;604;106;1000;894;1000
2718;605;113;1000;887;1000
1414;606;121;1000;879;1000
1530;607;112;1000;888;1000
2228;608;121;1000;879;1000
248;609;112;1000;888;1000
1715;610;121;1000;879;1000
1955;611;112;1000;888;1000
3339;612;121;1000;879;1000
2999;613;112;1000;888;1000
2466;614;121;1000;879;1000
1166;615;112;1000;888;1000
487;616;121;1000;879;1000
3408;617;130;1000;870;1000
638;618;121;1000;879;1000
2641;619;112;1000;888;1000
1619;620;121;1000;879;1000
724;621;112;1000;888;1000
1514;622;103;1000;897;1000
1244;623;110;1000;890;999
3350;624;119;1000;881;1000
1041;625;128;997;872;1000
3811;626;119;1000;881;1000
4000;627;110;1000;890;1000
1671;628;119;993;881;1000
13;629;110;1000;890;1000
78;630;101;1000;899;1000
616;631;109;1000;891;1000
1360;632;117;1000;883;1000
814;633;108;1000;892;1000
1884;634;115;1000;885;999
1232;635;123;1000;877;1000
1350;636;114;1000;886;1000
3206;637;105;1000;895;1000
1918;638;114;1000;886;1000
2554;639;105;1000;895;1000
407;640;113;1000;887;1000
954;641;121;1000;879;1000
3632;642;112;1000;888;1000
1186;643;120;1000;880;1000
160;644;129;1000;871;1000
2332;645;120;1000;880;1000
3720;646;111;1000;889;1000
565;647;119;1000;881;1000
2423;648;110;1000;890;1000
2042;649;118;1000;882;1000
317;650;127;1000;873;998
1399;651;118;1000;882;1000
1682;652;109;1000;891;1000
3780;653;116;1000;884;992
1592;654;125;1000;875;985
638;655;116;1000;884;994
3792;656;125;992;875;996
3954;657;116;1000;884;1000
3219;658;107;1000;893;1000
1935;659;116;1000;884;1000
1472;660;125;1000;875;1000
1186;661;116;1000;884;1000
2160;662;107;1000;893;1000
702;663;116;1000;884;1000
2948;664;125;1000;875;1000
3221;665;116;1000;884;1000
2507;666;125;1000;875;1000
3535;667;116;1000;884;1000
2618;668;124;1000;876;991
2266;669;115;1000;885;1000
3712;670;124;997;876;993
2976;671;133;1000;867;993
3395;672;124;1000;876;1000
2405;673;115;1000;885;1000
2860;674;124;1000;876;1000
3915;675;115;1000;885;1000
2826;676;123;999;877;1000
3859;677;114;1000;886;1000
1115;678;121;1000;879;1000
1200;679;112;1000;888;1000
2574;680;103;1000;897;1000
2788;681;112;1000;888;1000
1415;682;120;1000;880;1000
70;683;111;1000;889;1000
2420;684;120;1000;880;1000
2122;685;111;1000;889;1000
1907;686;118;1000;882;1000
2698;687;109;1000;891;1000
1963;688;117;1000;883;1000
2816;689;125;1000;875;998
3908;690;116;1000;884;1000
3916;691;107;1000;893;1000
3874;692;114;1000;886;1000
1786;693;123;1000;877;1000
558;694;114;1000;886;1000
1856;695;123;1000;877;995
440;696;114;1000;886;1000
1526;697;105;1000;895;1000
4075;698;114;999;886;998
2636;699;105;1000;895;1000
10;700;114;1000;886;992
1435;701;123;994;877;984
3005;702;114;1000;886;992
1045;703;123;1000;877;993
2405;704;114;1000;886;1000
3585;705;122;1000;878;1000
931;706;113;1000;887;1000
3334;707;122;1000;878;1000
3369;708;113;1000;887;1000
4082;709;104;1000;896;1000
1626;710;113;1000;887;1000
3030;711;122;993;878;998
2925;712;113;1000;887;1000
4072;713;122;1000;878;1000
1311;714;113;1000;887;1000
1901;715;122;1000;878;1000
2771;716;113;1000;887;1000
2117;717;121;1000;879;1000
1714;718;112;1000;888;1000
3006;719;121;1000;879;996
3;720;112;1000;888;1000
1744;721;120;1000;880;1000
3346;722;111;1000;889;1000
2597;723;120;1000;880;997
533;724;111;1000;889;1000
470;725;120;1000;880;1000
344;726;111;1000;889;1000
3898;727;120;1000;880;1000
2744;728;111;1000;889;1000
1513;729;117;1000;883;1000
3390;730;108;1000;892;1000
929;731;117;1000;883;1000
1102;732;108;1000;892;1000
960;733;117;1000;883;1000
3521;734;108;1000;892;1000
2277;735;117;1000;883;1000
3807;736;108;1000;892;1000
1832;737;117;1000;883;993
831;738;126;1000;874;991
1292;739;117;1000;883;1000
3473;740;108;1000;892;1000
3178;741;117;994;883;1000
3709;742;108;1000;892;1000
482;743;117;1000;883;1000
448;744;108;1000;892;1000
181;745;117;1000;883;1000
1436;746;108;1000;892;1000
3808;747;117;998;883;996
1092;748;108;1000;892;1000
2967;749;115;1000;885;997
1122;750;124;999;876;993
1137;751;115;1000;885;1000
1338;752;106;1000;894;1000
2606;753;113;1000;887;1000
2526;754;122;998;878;1000
2515;755;113;1000;887;1000
681;756;122;1000;878;1000
4095;757;113;1000;887;1000
3575;758;121;1000;879;1000
1021;759;112;1000;888;1000
1826;760;120;1000;880;999
1239;761;111;1000;889;1000
658;762;119;1000;881;992
213;763;110;1000;890;1000
